MPAN,DateTimeColumn,EnergyCumulativeValue
MINE,25/06/2018 00:00,36134
MINE,15/09/2018 00:00,36409
MINE,16/11/2018 00:00,36625
MINE,22/11/2018 00:00,36654
MINE,24/11/2018 09:17,36663
MINE,24/11/2018 19:35,36667
MINE,09/12/2018 00:00,36721
MINE,15/12/2018 00:00,36737
MINE,22/12/2018 00:00,36764
MINE,13/01/2019 00:00,36800
MINE,03/02/2019 00:00,36889
MINE,02/03/2019 00:00,36981
MINE,03/03/2019 00:00,36983
MINE,01/04/2019 00:00,37063
MINE,14/04/2019 00:00,37108
MINE,28/04/2019 00:00,37160
MINE,05/05/2019 00:00,37185
MINE,27/05/2019 00:00,37260
MINE,02/06/2019 00:00,37278
MINE,23/06/2019 00:00,37345
MINE,21/07/2019 00:00,37393
MINE,28/07/2019 00:00,37417
MINE,24/08/2019 00:00,37501
MINE,08/09/2019 00:00,37552
MINE,27/10/2019 00:00,37718
